ID,lat,lon,Station,state or country,country,Years,Range,
JFK,40.64,-73.76,New York (Kennedy), New York , United States ,72.4,1949-2020 ,
GUS,40.65,-86.15,Kokomo, Indiana , United States ,49.8,1945 1956-1970 1973-1993 2008-2020 ,
ABE,40.65,-75.45,Allentown, Pennsylvania , United States ,72.8,1948-2020 ,
PIA,40.67,-89.68,Peoria, Illinois , United States ,69.8,1948-1953 1957-2020 ,
EWR,40.68,-74.17,Newark, New Jersey , United States ,72.9,1948-2020 ,
BRL,40.78,-91.13,Burlington, Iowa , United States ,51.1,1948-1964 1986-2020 ,
LGA,40.78,-73.88,New York (LaGuardia), New York , United States ,72.4,1949-2020 ,
SLC,40.78,-111.97,Salt Lake City, Utah , United States ,73.1,1948-2020 ,
ISP,40.79,-73.1,Islip, New York , United States ,47.3,1973-2020 ,
EKO,40.83,-115.79,Elko, Nevada , United States ,70.6,1948-1986 1988-2020 ,
LNK,40.85,-96.75,Lincoln, Nebraska , United States ,65.9,1943-1945 1948-1952 1955-1963 1973-2020 ,
WMC,40.9,-117.81,Winnemucca, Nevada , United States ,64.1,1950-1987 1995-2020 ,
CAK,40.92,-81.44,Akron, Ohio , United States ,72.4,1949-2020 ,
GRI,40.96,-98.31,Grand Island, Nebraska , United States ,85.8,1929 1934-1943 1946-2020 ,
FWA,40.97,-85.21,Fort Wayne, Indiana , United States ,76.7,1942-1945 1948-2020 ,
ACV,40.98,-124.11,Arcata/Eureka, California , United States ,69.8,1950-2020 ,
HPN,41.07,-73.71,White Plains, New York , United States ,57,1949-1954 1968-2020 ,
LBF,41.12,-100.67,North Platte, Nebraska , United States ,72.8,1948-2020 ,
CYS,41.16,-104.81,Cheyenne, Wyoming , United States ,72.8,1948-2020 ,
DUJ,41.18,-78.9,DuBois, Pennsylvania , United States ,40.6,1973-1993 2000-2020 ,
ACK,41.25,-70.06,Nantucket, Massachusetts , United States ,47,1948-1975 19981999 2004-2020 ,
YNG,41.26,-80.67,Youngstown, Ohio , United States ,72.9,1948-2020 ,
OMA,41.31,-95.9,Omaha, Nebraska , United States ,72.5,1948-2020 ,
AVP,41.33,-75.73,Wilkes-Barre, Pennsylvania , United States ,54.7,1949-1950 1968-2020 ,
CLE,41.41,-81.85,Cleveland, Ohio , United States ,72.9,1948-2020 ,
MLI,41.47,-90.52,Moline, Illinois , United States ,72.6,1948-2020 ,
DSM,41.53,-93.65,Des Moines, Iowa , United States ,75.9,1945-2020 ,
TOL,41.59,-83.81,Toledo, Ohio , United States ,64.8,1955-2020 ,
RKS,41.6,-109.05,Rock Springs, Wyoming , United States ,68.5,1948-1981 1984-1996 1999-2020 ,
POU,41.63,-73.88,Poughkeepsie, New York , United States ,51.1,1949-1954 1973-1980 1982-1999 2001-2020 ,
SBN,41.71,-86.32,South Bend, Indiana , United States ,72.8,1948-2020 ,
